text,homophobia,obscene,insult,racism,misogyny,xenophobia
"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",0.0,0.0,2.0,0.0,0.0,0.0
"rt @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",0.0,0.0,1.0,0.0,0.0,0.0
"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",0.0,2.0,1.0,0.0,0.0,0.0
eu to chorando vei vsf e eu nem staneio izone nem nada https://t.co/rglb8luutw,0.0,1.0,0.0,0.0,0.0,0.0
"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah. https://t.co/cBpSJT1Gdf",0.0,1.0,2.0,0.0,0.0,0.0
rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,0.0,1.0,1.0,0.0,0.0,0.0
"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",0.0,0.0,0.0,0.0,0.0,0.0
mais é ruim pra pedir desafio  esse técnico do  azerbaijão,0.0,0.0,1.0,0.0,0.0,1.0
"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",0.0,0.0,1.0,0.0,0.0,2.0
"frio do caralho, parece até q to dentro do teu coração",0.0,1.0,1.0,0.0,0.0,0.0
"@user o mentiroso
https://t.co/5fantv4zdx",0.0,0.0,2.0,0.0,0.0,0.0
"@user onde mexe fede!
#forastf 
#stfvergonhanacional 
#forasuspeitotribunalfederal
#nasruascontrastf",0.0,1.0,1.0,0.0,0.0,0.0
"meu filho vem primeiro, ele é minha prioridade!",0.0,0.0,0.0,0.0,0.0,0.0
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,0.0,0.0,0.0,0.0,0.0,0.0
"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!

#DireitaCensurada https://t.co/qVWf3HxWd8",0.0,0.0,0.0,0.0,0.0,0.0
"@user não se ele tiver encomendado o ""serviço""",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,0.0,1.0,1.0,0.0,0.0,0.0
