text,toxic
"rt @user olha quem chegouuuuu, nossos queridinhos!!! vem na minha direção 🤩

fem 👧: 10/15
masc 👦: 25/40

#qqmt https://t.co/jivoqeuq…",0
"veio umas teorias muito loucas na minha cabeça agora, pqp to assustado",1
"@user @user 😂😂😂😂mais nao tinha falado ontem que não ia ser patrocinado nada que pudesse ""violar"" a moralidade da família brasileira 🤦‍♂️",0
rt @user quer ser filha da puta logo comigo que sou 50x pior kkkkkkkkkkkkkk fica no sapatinho,1
vai besta 😂😂😂😂 casquei com a ultima foto,1
"rt @user @user não sei oq é mais chocante, um botafoguense, ou um botafoguense falando de torcida e grandeza.",1
@user pois é mano que coisa chata da porra,0
rt @user eu odeio sentir ódio de alguém pq eu tô por trás da porra da tela de um celular e não posso meter o socão na fuça.,1
"se eu ganhar raspo minha cabeça
 https://t.co/ucfwfabmam #sorteiochipart",0
rt @user @user vlw mano tmj 鉂ゐ煉煆�,0
"rt @user mulher que é mulher não discuti por homem , quando a briga tá feia deixa pra quem passa fome 🎵

#vctediçãobailedoegito",0
@user bicho eu fico puto demais,0
"@user deve ser um peso, mas chorar faz parte do ritual de cura, às vezes",0
rt @user eu to puto so queria ser prioridade na vida de alguem nessa caralha mas fds não sou nem minha msm imagina na dos outros,1
"eu lembro quando a pérola era tímida e quieta, eu criei um monstro",0
"puta merda, que saudade de jogar midnight club 3",1
"rt @user você eh fraco stuart liro, lhe falta 
lepto
lepisto
lesoto
lepecto
a doença do rato https://t.co/si4uzsstaz",0
@user vai se ferrar af desgraçada de perfeita te amo gostosa da minha vida,0
blz perdi o onibus kkkkkkkkk vsf,1
"Há um mistério há anos, desde a criação do Ministério da Pesca na Esplanada. Por que Brasília tem quase 40 mil pescadores que recebem o seguro-defeso pago pelo Governo?",0
"@user @user @user com certeza vai ser mo, a taylor é mto inteligente",0
boca fechada pros planos darem certo!!!! 🤫🤐🙏🏾,0
"rt @user @user eu também amg, mas me incomoda aquela mata atlântica na minha buceta",1
rt @user @user nao sei . pra mim todo japones que é comunista é burro... uma coisa q meu pai ensinou kk,1
rt @user deus só não me fez magra pq sabe q se fizesse eu iria ser uma grande vadia,1
não é possível que vai virar essa porra de jogo,0
"Eu na hora de comprar celular ""nossa quero um Plus quero um grande amo celular grande"" 

Eu depois de anos comprei um celular grande ""que coisa grande do caralho que merda""",1
rt @user quem não gosta de uma cerveja geladinha = aberração https://t.co/7sfumeokjq,1
tenho nem privacidade pra ficar triste em paz mais vtnc,0
vó me manter assim pq as outras pessoas não tem nada a ver com isso pq o que dá vontade é de se a porra de um cuzao do caralho,1
"se o meu horário deste ano, foi igual ao do ano passado, vou morrer mm 🙃",0
a mas curitiba tá um frio do carai,1
@user vai sonhando filho da puta,1
no escurinho da favela,0
rt @user eu amo a isabela é isto kkkkdkndhenwjwnwhaj https://t.co/qlmpmw0bqj,0
"""O Rio de Janeiro, que sempre respirou Flamengo, precisava estar ofegante. (...) Domingo, após porrar um eterno freguês, um recado: “Vamos virar, Mengo!”. Não estávamos pedindo, e sim avisando.""

@user entende do riscado.

Vale demais a leitura! https://t.co/eo9KUc3iLV",0
"@user Kakakak é que o Malcon estava negociando com a Roma e já estava dado como certo na Itália, de ÚLTIMA hora o jogador deixou de assinar com a Roma pra ir pro Barcelona dando um chapéu no clube italiano. Desde então ele é amado pela Roma kakakakka. Daí o Zenit cornetou kakakkakaka",0
"rt @user quatrocentos tweets, falta pouco 

paulinha na fab",0
@user caralho eu sentaria em varias mesas,0
@user @user @user @user retardado 茅 aquele que n茫o leva a biologia em considera莽茫o,1
adorava que a puta da maria vivas me respondesse 馃檭,1
@user kkkkkk né porra essa mulher é de outro mundo na boa,0
os meus lowkey são mas acho q mais liberdade ia me fazer confusão KKKKK cm é q vcs chegam a casa dps das 8 da noite qd é q vcs jantam??? https://t.co/swqxR365r4,0
o que eu tenho de feio tenho de engraçado.😂👍 https://t.co/qb8svpgdih,0
